process,process description,parameter,value,unit,description,
 , ,G3_FF06,0.500000,(-),Faecal fraction Dummy Food6 for DEB Grazer3
 , ,G3_FF07,0.500000,(-),Faecal fraction Dummy Food7 for DEB Grazer3
 , ,G3_FF08,0.500000,(-),Faecal fraction Dummy Food8 for DEB Grazer3
DEBGRZ_M,Dynamics of DEB Mussel (def: benthic V1-morphs),DELT,Using DELWAQ timestep in days,(d),timestep for processes
 , ,Volume,Using DELWAQ volume,(m3),volume of computational cell
 , ,Temp,Using segment function nr  4,(oC),ambient water temperature
 , ,Depth,Using output from proces [DynDepth            ],(m),depth of segment
 , ,TotalDepth,Using output from proces [TotDepth            ],(m),total depth water column
 , ,TIM,Using output from proces [Compos              ],(gDM/m3),total inorganic matter
 , ,SWDetTyp,1.00000,(-),option for POX (value must not be changed)
 , ,M_SwV1,1.00000,(-),use 0 [ISO-morphs] or 1 [V1-morphs]
 , ,M_SwBEN,1.00000,(-),Use 0 [pelagic] or 1 [benthic] for DEB Mussel
 , ,Mussel_V,Using substance nr  36,(gC/m3-or-gC/m2),conc struct biomass of DEB Mussel
 , ,Mussel_E,Using substance nr  37,(gC/m3-or-gC/m2),conc energy reserve of DEB Mussel
 , ,Mussel_R,Using substance nr  38,(gC/m3-or-gC/m2),conc gonadal mass of DEB Mussel
 , ,Mussel_N,1.00000,(#/m3-or-#/m2),number of individual DEB Mussel
 , ,M_Lref,Using parameter nr  1,(cm),ref length of DEB Mussel  (only for V1morphs)
 , ,M_Dummy,1.00000,(-),dummy constant for DEB Mussel
 , ,M_Vb,Using parameter nr  3,(cm3),volume at birth individual DEB Mussel
 , ,M_Vp,Using parameter nr  5,(cm3),volume at start of repro stage ind DEB Mussel
 , ,M_shape,Using parameter nr  7,(-),shape coefficient of DEB Mussel
 , ,M_Em,Using parameter nr  9,(J/cm3),maximum storage density of DEB Mussel
 , ,M_Eg,Using parameter nr 11,(J/cm3),volume-spec costs for growth of DEB Mussel
 , ,M_Pm,Using parameter nr 13,(J/d),respiration rate constant of DEB Mussel
 , ,M_JXm,Using parameter nr 15,(J/cm2/d),max ingestion rate of DEB Mussel
 , ,M_kappaI,0.750000,(-),ingestion efficiency of DEB Mussel
 , ,M_kappaA,1.00000,(-),assimilation efficiency of DEB Mussel
 , ,M_kappa,Using parameter nr 17,(-),fraction of energy spent on growth DEB Mussel
 , ,M_kappaR,Using parameter nr 19,(-),fraction of energy spent on gonads DEB Mussel
 , ,M_Ta,Using parameter nr 21,(K),arrhenius temperature of DEB Mussel
 , ,M_Tah,Using parameter nr 23,(K),arr temp for upper boundary DEB Mussel
 , ,M_Tal,Using parameter nr 25,(K),arr temp for lower boundary DEB Mussel
 , ,M_Th,Using parameter nr 27,(K),upper boundary of tolerance range of DEB Mussel
 , ,M_Tl,Using parameter nr 29,(K),lower boundary of tolerance range of DEB Mussel
 , ,M_GSIupr,Using parameter nr 31,(-),minimum GSI for spawning of DEB Mussel
 , ,M_GSIlwr,Using parameter nr 33,(-),minimum GSI while spawning of DEB Mussel
 , ,M_DoSpawn,0.00000,(-),indication of spawning of DEB Mussel
 , ,M_rSpawn,0.200000E-01,(-),spawning rate of DEB Mussel
 , ,M_MinSTmp,Using parameter nr 35,(oC),minimum temperature for spawning of DEB Mussel
 , ,M_Xk,Using parameter nr 37,(gC/m3),halfrate const for food of DEB Mussel
 , ,M_Yk,Using parameter nr 39,(gC/m3),halfrate const for TIM of DEB Mussel
 , ,M_rMor,Using parameter nr 41,(/d),reference mortality rate of DEB Mussel
 , ,M_cMor,0.00000,(/d),length coefficient harvesting rate DEB Mussel
 , ,M_rHrv,0.00000,(/d),reference rate of harvesting of DEB Mussel
 , ,M_cHrv,0.00000,(/d),length coefficient harvesting rate DEB Mussel
 , ,M_cEC,0.355555E-04,(gC/J),energy to carbon conversion of DEB Mussel
 , ,M_cVC,0.480000E-01,(gC/cm3),volume to carbon conversion of DEB Mussel
 , ,M_cAFWC,0.400000,(gC/gAFDW),AFD weight to carbon conv of DEB Mussel
 , ,M_cWWC,Using parameter nr 42,(gC/gWW),wetweight to carbon conv of DEB Mussel
 , ,M_TC,1.00000,(gC/gC),C:C ratio of DEB Mussel
 , ,M_TN,0.181800,(gN/gC),N:C ratio of DEB Mussel
 , ,M_TP,0.263000E-01,(gP/gC),P:C ratio of DEB Mussel
 , ,M_TSi,0.00000,(Si/gC),Si:C ratio of DEB Mussel
 , ,M_FrDetS1,1.00000,(-),fraction of DEB Mussel detritus into sediment
 , ,M_SFSusp,1.00000,(-),DEB Mussel pref suspension over deposit feeding
 , ,M_PrDet,0.00000,(-),DEB Mussel preference for DetC or POC1
 , ,M_PrDetS1,0.00000,(-),DEB Mussel preference for DetCS1
 , ,M_FFDet,0.500000,(-),Faecal fraction of DetC for DEB Mussel
 , ,M_FFDetS1,0.500000,(-),Faecal fraction of DetCS1 for DEB Mussel
 , ,DetC,0.00000,(gC/m3),Detritus Carbon  (DetC)
 , ,DetN,0.00000,(gN/m3),Detritus Nitrogen (DetN)
 , ,DetP,0.00000,(gP/m3),Detritus Phosphorus (DetP)
 , ,DetSi,0.00000,(gSi/m3),Detritus Silica (DetSi)
 , ,POC1,Using substance nr   5,(gC/m3),POC1 (fast decomposing fraction)
 , ,PON1,Using substance nr   6,,PON1 (fast decomposing fraction)
 , ,POP1,Using substance nr   7,,POP1 (fast decomposing fraction)
 , ,POSi1,0.00000,(gSi/m3),dummy fast detritus silicium
 , ,DetCS1,Using substance nr  29,(gC/m2),DetC in layer S1
 , ,DetNS1,Using substance nr  30,(gN/m2),DetN in layer S1
 , ,DetPS1,Using substance nr  31,(gP/m2),DetP in layer S1
 , ,DetSiS1,Using substance nr  32,(gSi/m2),DetSi in layer S1
 , ,Green,0.00000,(gC/m3),Algae (non-Diatoms)
 , ,Diat,0.00000,(gC/m3),Diatoms
 , ,MDIATOMS_E,Using substance nr  16,NOUNIT,concentration of algae type 1
 , ,MDIATOMS_N,Using substance nr  17,NOUNIT,concentration of algae type 2
 , ,MDIATOMS_P,Using substance nr  18,NOUNIT,concentration of algae type 3
 , ,MFLAGELA_E,Using substance nr  19,NOUNIT,concentration of algae type 4
 , ,MFLAGELA_N,Using substance nr  20,NOUNIT,concentration of algae type 5
 , ,MFLAGELA_P,Using substance nr  21,NOUNIT,concentration of algae type 6
 , ,DINOFLAG_E,Using substance nr  13,NOUNIT,concentration of algae type 7
 , ,DINOFLAG_N,Using substance nr  14,NOUNIT,concentration of algae type 8
 , ,DINOFLAG_P,Using substance nr  15,NOUNIT,concentration of algae type 9
 , ,PHAEOCYS_E,Using substance nr  22,NOUNIT,concentration of algae type 10
 , ,PHAEOCYS_N,Using substance nr  23,NOUNIT,concentration of algae type 11
 , ,PHAEOCYS_P,Using substance nr  24,NOUNIT,concentration of algae type 12
 , ,ULVAS_E,Using substance nr  26,NOUNIT,concentration of algae type 13
 , ,ULVAS_N,Using substance nr  27,NOUNIT,concentration of algae type 14
 , ,ULVAS_P,Using substance nr  28,NOUNIT,concentration of algae type 15
 , ,ULVAF_E,Using substance nr  33,NOUNIT,concentration of algae type 16
 , ,ULVAF_N,Using substance nr  34,NOUNIT,concentration of algae type 17
 , ,ULVAF_P,Using substance nr  35,NOUNIT,concentration of algae type 18
 , ,BLOOMALG19,-101.000,(gC/m3),concentration of algae type 19
 , ,BLOOMALG20,-101.000,(gC/m3),concentration of algae type 20
 , ,BLOOMALG21,-101.000,(gC/m3),concentration of algae type 21
 , ,BLOOMALG22,-101.000,(gC/m3),concentration of algae type 22
 , ,BLOOMALG23,-101.000,(gC/m3),concentration of algae type 23
 , ,BLOOMALG24,-101.000,(gC/m3),concentration of algae type 24
 , ,BLOOMALG25,-101.000,(gC/m3),concentration of algae type 25
 , ,BLOOMALG26,-101.000,(gC/m3),concentration of algae type 26
 , ,BLOOMALG27,-101.000,(gC/m3),concentration of algae type 27
 , ,BLOOMALG28,-101.000,(gC/m3),concentration of algae type 28
 , ,BLOOMALG29,-101.000,(gC/m3),concentration of algae type 29
 , ,BLOOMALG30,-101.000,(gC/m3),concentration of algae type 30
 , ,F1,0.00000,(gC),Dummy food type 1
 , ,F2,0.00000,(gC),Dummy food type 2
 , ,F3,0.00000,(gC),Dummy food type 3
 , ,F4,0.00000,(gC),Dummy food type 4
 , ,F5,0.00000,(gC),Dummy food type 5
 , ,F6,0.00000,(gC),Dummy food type 6
 , ,F7,0.00000,(gC),Dummy food type 7
 , ,F8,0.00000,(gC),Dummy food type 8
 , ,NCRatGreen,0.160000,(gN/gC),N:C ratio Greens
 , ,NCRatDiat,0.160000,(gN/gC),N:C ratio Diatoms
 , ,NCRMDI_E,0.255000,NOUNIT,N:C ratio algae type 01
 , ,NCRMDI_N,0.125000,NOUNIT,N:C ratio algae type 02
 , ,NCRMDI_P,0.150000,NOUNIT,N:C ratio algae type 03
 , ,NCRMFL_E,0.200000,NOUNIT,N:C ratio algae type 04
 , ,NCRMFL_N,0.140000,NOUNIT,N:C ratio algae type 05
 , ,NCRMFL_P,0.200000,NOUNIT,N:C ratio algae type 06
 , ,NCRDIN_E,0.162500,NOUNIT,N:C ratio algae type 07
 , ,NCRDIN_N,0.125000,NOUNIT,N:C ratio algae type 08
 , ,NCRDIN_P,0.137500,NOUNIT,N:C ratio algae type 09
 , ,NCRPHA_E,0.187500,NOUNIT,N:C ratio algae type 10
 , ,NCRPHA_N,0.135000,NOUNIT,N:C ratio algae type 11
 , ,NCRPHA_P,0.187500,NOUNIT,N:C ratio algae type 12
 , ,NCRULS_E,0.255100,NOUNIT,N:C ratio algae type 13
 , ,NCRULS_N,0.125100,NOUNIT,N:C ratio algae type 14
 , ,NCRULS_P,0.150100,NOUNIT,N:C ratio algae type 15
 , ,NCRULF_E,0.255100,NOUNIT,N:C ratio algae type 16
 , ,NCRULF_N,0.125100,NOUNIT,N:C ratio algae type 17
 , ,NCRULF_P,0.150100,NOUNIT,N:C ratio algae type 18
 , ,NCRAlg19,0.200000,(gN/gC),N:C ratio algae type 19
 , ,NCRAlg20,0.200000,(gN/gC),N:C ratio algae type 20
 , ,NCRAlg21,0.200000,(gN/gC),N:C ratio algae type 21
 , ,NCRAlg22,0.200000,(gN/gC),N:C ratio algae type 22
 , ,NCRAlg23,0.200000,(gN/gC),N:C ratio algae type 23
 , ,NCRAlg24,0.200000,(gN/gC),N:C ratio algae type 24
 , ,NCRAlg25,0.200000,(gN/gC),N:C ratio algae type 25
 , ,NCRAlg26,0.200000,(gN/gC),N:C ratio algae type 26
 , ,NCRAlg27,0.200000,(gN/gC),N:C ratio algae type 27
 , ,NCRAlg28,0.200000,(gN/gC),N:C ratio algae type 28
 , ,NCRAlg29,0.200000,(gN/gC),N:C ratio algae type 29
 , ,NCRAlg30,0.200000,(gN/gC),N:C ratio algae type 30
 , ,NCRatF1,0.400000,(gN/gC),N:C ratio Dummy food type 1
 , ,NCRatF2,0.400000,(gN/gC),N:C ratio Dummy food type 2
 , ,NCRatF3,0.400000,(gN/gC),N:C ratio Dummy food type 3
 , ,NCRatF4,0.400000,(gN/gC),N:C ratio Dummy food type 4
 , ,NCRatF5,0.400000,(gN/gC),N:C ratio Dummy food type 5
 , ,NCRatF6,0.400000,(gN/gC),N:C ratio Dummy food type 6
 , ,NCRatF7,0.400000,(gN/gC),N:C ratio Dummy food type 7
 , ,NCRatF8,0.400000,(gN/gC),N:C ratio Dummy food type 8
 , ,PCRatGreen,0.200000E-01,(gP/gC),P:C ratio Greens
 , ,PCRatDiat,0.200000E-01,(gP/gC),P:C ratio Diatoms
 , ,PCRMDI_E,0.315000E-01,NOUNIT,P:C ratio algae type 01
 , ,PCRMDI_N,0.175000E-01,NOUNIT,P:C ratio algae type 02
 , ,PCRMDI_P,0.112500E-01,NOUNIT,P:C ratio algae type 03
 , ,PCRMFL_E,0.200000E-01,NOUNIT,P:C ratio algae type 04
 , ,PCRMFL_N,0.150000E-01,NOUNIT,P:C ratio algae type 05
 , ,PCRMFL_P,0.112500E-01,NOUNIT,P:C ratio algae type 06
 , ,PCRDIN_E,0.167500E-01,NOUNIT,P:C ratio algae type 07
 , ,PCRDIN_N,0.150000E-01,NOUNIT,P:C ratio algae type 08
 , ,PCRDIN_P,0.130000E-01,NOUNIT,P:C ratio algae type 09
 , ,PCRPHA_E,0.225000E-01,NOUNIT,P:C ratio algae type 10
 , ,PCRPHA_N,0.212500E-01,NOUNIT,P:C ratio algae type 11
 , ,PCRPHA_P,0.112500E-01,NOUNIT,P:C ratio algae type 12
 , ,PCRULS_E,0.315100E-01,NOUNIT,P:C ratio algae type 13
 , ,PCRULS_N,0.175100E-01,NOUNIT,P:C ratio algae type 14
 , ,PCRULS_P,0.112600E-01,NOUNIT,P:C ratio algae type 15
 , ,PCRULF_E,0.315100E-01,NOUNIT,P:C ratio algae type 16
 , ,PCRULF_N,0.175100E-01,NOUNIT,P:C ratio algae type 17
 , ,PCRULF_P,0.112600E-01,NOUNIT,P:C ratio algae type 18
 , ,PCRAlg19,0.200000E-01,(gP/gC),P:C ratio algae type 19
 , ,PCRAlg20,0.200000E-01,(gP/gC),P:C ratio algae type 20
 , ,PCRAlg21,0.200000E-01,(gP/gC),P:C ratio algae type 21
 , ,PCRAlg22,0.200000E-01,(gP/gC),P:C ratio algae type 22
 , ,PCRAlg23,0.200000E-01,(gP/gC),P:C ratio algae type 23
 , ,PCRAlg24,0.200000E-01,(gP/gC),P:C ratio algae type 24
 , ,PCRAlg25,0.200000E-01,(gP/gC),P:C ratio algae type 25
 , ,PCRAlg26,0.200000E-01,(gP/gC),P:C ratio algae type 26
 , ,PCRAlg27,0.200000E-01,(gP/gC),P:C ratio algae type 27
 , ,PCRAlg28,0.200000E-01,(gP/gC),P:C ratio algae type 28
 , ,PCRAlg29,0.200000E-01,(gP/gC),P:C ratio algae type 29
 , ,PCRAlg30,0.200000E-01,(gP/gC),P:C ratio algae type 30
 , ,PCRatF1,0.200000E-01,(gP/gC),P:C ratio Dummy food type 1
 , ,PCRatF2,0.200000E-01,(gP/gC),P:C ratio Dummy food type 2
 , ,PCRatF3,0.200000E-01,(gP/gC),P:C ratio Dummy food type 3
 , ,PCRatF4,0.200000E-01,(gP/gC),P:C ratio Dummy food type 4
 , ,PCRatF5,0.200000E-01,(gP/gC),P:C ratio Dummy food type 5
 , ,PCRatF6,0.200000E-01,(gP/gC),P:C ratio Dummy food type 6
 , ,PCRatF7,0.200000E-01,(gP/gC),P:C ratio Dummy food type 7
 , ,PCRatF8,0.200000E-01,(gP/gC),P:C ratio Dummy food type 8
 , ,SCRatGreen,0.00000,(gSi/gC),Si:C ratio Greens
 , ,SCRatDiat,0.490000,(gSi/gC),Si:C ratio Diatoms
 , ,SCRMDI_E,0.447000,NOUNIT,Si:C ratio algae type 01
 , ,SCRMDI_N,0.283000,NOUNIT,Si:C ratio algae type 02
 , ,SCRMDI_P,0.283000,NOUNIT,Si:C ratio algae type 03
 , ,SCRMFL_E,0.00000,NOUNIT,Si:C ratio algae type 04
 , ,SCRMFL_N,0.00000,NOUNIT,Si:C ratio algae type 05
 , ,SCRMFL_P,0.00000,NOUNIT,Si:C ratio algae type 06
 , ,SCRDIN_E,0.00000,NOUNIT,Si:C ratio algae type 07
 , ,SCRDIN_N,0.00000,NOUNIT,Si:C ratio algae type 08
 , ,SCRDIN_P,0.00000,NOUNIT,Si:C ratio algae type 09
 , ,SCRPHA_E,0.00000,NOUNIT,Si:C ratio algae type 10
 , ,SCRPHA_N,0.00000,NOUNIT,Si:C ratio algae type 11
 , ,SCRPHA_P,0.00000,NOUNIT,Si:C ratio algae type 12
 , ,SCRULS_E,0.447100,NOUNIT,Si:C ratio algae type 13
 , ,SCRULS_N,0.283100,NOUNIT,Si:C ratio algae type 14
 , ,SCRULS_P,0.283100,NOUNIT,Si:C ratio algae type 15
 , ,SCRULF_E,0.447100,NOUNIT,Si:C ratio algae type 16
 , ,SCRULF_N,0.283100,NOUNIT,Si:C ratio algae type 17
 , ,SCRULF_P,0.283100,NOUNIT,Si:C ratio algae type 18
 , ,SCRAlg19,0.200000E-02,(gSi/gC),Si:C ratio algae type 19
 , ,SCRAlg20,0.200000E-02,(gSi/gC),Si:C ratio algae type 20
 , ,SCRAlg21,0.200000E-02,(gSi/gC),Si:C ratio algae type 21
 , ,SCRAlg22,0.200000E-02,(gSi/gC),Si:C ratio algae type 22
 , ,SCRAlg23,0.200000E-02,(gSi/gC),Si:C ratio algae type 23
 , ,SCRAlg24,0.200000E-02,(gSi/gC),Si:C ratio algae type 24
 , ,SCRAlg25,0.200000E-02,(gSi/gC),Si:C ratio algae type 25
 , ,SCRAlg26,0.200000E-02,(gSi/gC),Si:C ratio algae type 26
 , ,SCRAlg27,0.200000E-02,(gSi/gC),Si:C ratio algae type 27
 , ,SCRAlg28,0.200000E-02,(gSi/gC),Si:C ratio algae type 28
 , ,SCRAlg29,0.200000E-02,(gSi/gC),Si:C ratio algae type 29
 , ,SCRAlg30,0.200000E-02,(gSi/gC),Si:C ratio algae type 30
 , ,SCRatF1,0.00000,(gSi/gC),Si:C ratio Dummy food type 1
 , ,SCRatF2,0.00000,(gSi/gC),Si:C ratio Dummy food type 2
 , ,SCRatF3,0.00000,(gSi/gC),Si:C ratio Dummy food type 3
 , ,SCRatF4,0.00000,(gSi/gC),Si:C ratio Dummy food type 4
 , ,SCRatF5,0.00000,(gSi/gC),Si:C ratio Dummy food type 5
 , ,SCRatF6,0.00000,(gSi/gC),Si:C ratio Dummy food type 6
 , ,SCRatF7,0.00000,(gSi/gC),Si:C ratio Dummy food type 7
 , ,SCRatF8,0.00000,(gSi/gC),Si:C ratio Dummy food type 8
 , ,M_PrGrn,1.00000,(-),Preference of DEB Mussel for Greens
 , ,M_PrDiat,1.00000,(-),Preference of DEB Mussel for Diatoms
 , ,M_PrAlg01,1.00000,(-),Preference of DEB Mussel for algae type 01
 , ,M_PrAlg02,1.00000,(-),Preference of DEB Mussel for algae type 02
 , ,M_PrAlg03,1.00000,(-),Preference of DEB Mussel for algae type 03
 , ,M_PrAlg04,1.00000,(-),Preference of DEB Mussel for algae type 04
 , ,M_PrAlg05,1.00000,(-),Preference of DEB Mussel for algae type 05
 , ,M_PrAlg06,1.00000,(-),Preference of DEB Mussel for algae type 06
 , ,M_PrAlg07,1.00000,(-),Preference of DEB Mussel for algae type 07
 , ,M_PrAlg08,1.00000,(-),Preference of DEB Mussel for algae type 08
 , ,M_PrAlg09,1.00000,(-),Preference of DEB Mussel for algae type 09
 , ,M_PrAlg10,0.00000,(-),Preference of DEB Mussel for algae type 10
 , ,M_PrAlg11,0.00000,(-),Preference of DEB Mussel for algae type 11
 , ,M_PrAlg12,0.00000,(-),Preference of DEB Mussel for algae type 12
 , ,M_PrAlg13,1.00000,(-),Preference of DEB Mussel for algae type 13
 , ,M_PrAlg14,1.00000,(-),Preference of DEB Mussel for algae type 14
 , ,M_PrAlg15,1.00000,(-),Preference of DEB Mussel for algae type 15
 , ,M_PrAlg16,0.00000,(-),Preference of DEB Mussel for algae type 16
 , ,M_PrAlg17,0.00000,(-),Preference of DEB Mussel for algae type 17
 , ,M_PrAlg18,0.00000,(-),Preference of DEB Mussel for algae type 18
 , ,M_PrAlg19,1.00000,(-),Preference of DEB Mussel for algae type 19
 , ,M_PrAlg20,1.00000,(-),Preference of DEB Mussel for algae type 20
 , ,M_PrAlg21,1.00000,(-),Preference of DEB Mussel for algae type 21
 , ,M_PrAlg22,1.00000,(-),Preference of DEB Mussel for algae type 22
 , ,M_PrAlg23,1.00000,(-),Preference of DEB Mussel for algae type 23
 , ,M_PrAlg24,1.00000,(-),Preference of DEB Mussel for algae type 24
 , ,M_PrAlg25,1.00000,(-),Preference of DEB Mussel for algae type 25
 , ,M_PrAlg26,1.00000,(-),Preference of DEB Mussel for algae type 26
 , ,M_PrAlg27,1.00000,(-),Preference of DEB Mussel for algae type 27
 , ,M_PrAlg28,1.00000,(-),Preference of DEB Mussel for algae type 28
 , ,M_PrAlg29,1.00000,(-),Preference of DEB Mussel for algae type 29
 , ,M_PrAlg30,1.00000,(-),Preference of DEB Mussel for algae type 30
 , ,M_Pr1,0.00000,(-),Preference of DEB Mussel for Dummy Food1
 , ,M_Pr2,0.00000,(-),Preference of DEB Mussel for Dummy Food2
 , ,M_Pr3,0.00000,(-),Preference of DEB Mussel for Dummy Food3
 , ,M_Pr4,0.00000,(-),Preference of DEB Mussel for Dummy Food4
 , ,M_Pr5,0.00000,(-),Preference of DEB Mussel for Dummy Food5
 , ,M_Pr6,0.00000,(-),Preference of DEB Mussel for Dummy Food6
 , ,M_Pr7,0.00000,(-),Preference of DEB Mussel for Dummy Food7
 , ,M_Pr8,0.00000,(-),Preference of DEB Mussel for Dummy Food8
 , ,BenGrn,0.00000,(-),Use 0 [pelagic] or 1 [benthic] Greens
 , ,BenDiat,0.00000,(-),Use 0 [pelagic] or 1 [benthic] Diatoms
 , ,BenAlg01,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 01
 , ,BenAlg02,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 02
 , ,BenAlg03,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 03
 , ,BenAlg04,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 04
 , ,BenAlg05,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 05
 , ,BenAlg06,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 06
 , ,BenAlg07,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 07
 , ,BenAlg08,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 08
 , ,BenAlg09,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 09
 , ,BenAlg10,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 10
 , ,BenAlg11,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 11
 , ,BenAlg12,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 12
 , ,BenAlg13,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 13
 , ,BenAlg14,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 14
 , ,BenAlg15,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 15
 , ,BenAlg16,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 16
 , ,BenAlg17,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 17
 , ,BenAlg18,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 18
 , ,BenAlg19,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 19
 , ,BenAlg20,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 20
 , ,BenAlg21,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 21
 , ,BenAlg22,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 22
 , ,BenAlg23,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 23
 , ,BenAlg24,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 24
 , ,BenAlg25,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 25
 , ,BenAlg26,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 26
 , ,BenAlg27,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 27
 , ,BenAlg28,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 28
 , ,BenAlg29,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 29
 , ,BenAlg30,0.00000,(-),Use 0 [pelagic] or 1 [benthic] algae type 30
 , ,Ben1,1.00000,(-),Use 0 [pelagic] or 1 [benthic] Dummy Food1
 , ,Ben2,1.00000,(-),Use 0 [pelagic] or 1 [benthic] Dummy Food2
 , ,Ben3,1.00000,(-),Use 0 [pelagic] or 1 [benthic] Dummy Food3
 , ,Ben4,1.00000,(-),Use 0 [pelagic] or 1 [benthic] Dummy Food4
 , ,Ben5,1.00000,(-),Use 0 [pelagic] or 1 [benthic] Dummy Food5
 , ,Ben6,1.00000,(-),Use 0 [pelagic] or 1 [benthic] Dummy Food6
 , ,Ben7,1.00000,(-),Use 0 [pelagic] or 1 [benthic] Dummy Food7
 , ,Ben8,1.00000,(-),Use 0 [pelagic] or 1 [benthic] Dummy Food8
 , ,M_FFGrn,0.500000,(-),Faecal fraction Greens for DEB Mussel
 , ,M_FFDiat,0.500000,(-),Faecal fraction Diatoms for DEB Mussel
 , ,M_ALGFF01,0.500000,(-),Faecal fraction Alg01 for DEB Mussel
 , ,M_ALGFF02,0.500000,(-),Faecal fraction Alg02 for DEB Mussel
 , ,M_ALGFF03,0.500000,(-),Faecal fraction Alg03 for DEB Mussel
 , ,M_ALGFF04,0.500000,(-),Faecal fraction Alg04 for DEB Mussel
 , ,M_ALGFF05,0.500000,(-),Faecal fraction Alg05 for DEB Mussel
 , ,M_ALGFF06,0.500000,(-),Faecal fraction Alg06 for DEB Mussel
 , ,M_ALGFF07,0.500000,(-),Faecal fraction Alg07 for DEB Mussel
 , ,M_ALGFF08,0.500000,(-),Faecal fraction Alg08 for DEB Mussel
 , ,M_ALGFF09,0.500000,(-),Faecal fraction Alg09 for DEB Mussel
 , ,M_ALGFF10,0.500000,(-),Faecal fraction Alg10 for DEB Mussel
 , ,M_ALGFF11,0.500000,(-),Faecal fraction Alg11 for DEB Mussel
 , ,M_ALGFF12,0.500000,(-),Faecal fraction Alg12 for DEB Mussel
 , ,M_ALGFF13,0.500000,(-),Faecal fraction Alg13 for DEB Mussel
 , ,M_ALGFF14,0.500000,(-),Faecal fraction Alg14 for DEB Mussel
 , ,M_ALGFF15,0.500000,(-),Faecal fraction Alg15 for DEB Mussel
 , ,M_ALGFF16,0.500000,(-),Faecal fraction Alg16 for DEB Mussel
 , ,M_ALGFF17,0.500000,(-),Faecal fraction Alg17 for DEB Mussel
 , ,M_ALGFF18,0.500000,(-),Faecal fraction Alg18 for DEB Mussel
 , ,M_ALGFF19,0.500000,(-),Faecal fraction Alg19 for DEB Mussel
 , ,M_ALGFF20,0.500000,(-),Faecal fraction Alg20 for DEB Mussel
 , ,M_ALGFF21,0.500000,(-),Faecal fraction Alg21 for DEB Mussel
 , ,M_ALGFF22,0.500000,(-),Faecal fraction Alg22 for DEB Mussel
 , ,M_ALGFF23,0.500000,(-),Faecal fraction Alg23 for DEB Mussel
 , ,M_ALGFF24,0.500000,(-),Faecal fraction Alg24 for DEB Mussel
 , ,M_ALGFF25,0.500000,(-),Faecal fraction Alg25 for DEB Mussel
 , ,M_ALGFF26,0.500000,(-),Faecal fraction Alg26 for DEB Mussel
 , ,M_ALGFF27,0.500000,(-),Faecal fraction Alg27 for DEB Mussel
 , ,M_ALGFF28,0.500000,(-),Faecal fraction Alg28 for DEB Mussel
 , ,M_ALGFF29,0.500000,(-),Faecal fraction Alg29 for DEB Mussel
 , ,M_ALGFF30,0.500000,(-),Faecal fraction Alg30 for DEB Mussel
 , ,M_FF01,0.500000,(-),Faecal fraction Dummy Food1 for DEB Mussel
 , ,M_FF02,0.500000,(-),Faecal fraction Dummy Food2 for DEB Mussel
 , ,M_FF03,0.500000,(-),Faecal fraction Dummy Food3 for DEB Mussel
 , ,M_FF04,0.500000,(-),Faecal fraction Dummy Food4 for DEB Mussel
 , ,M_FF05,0.500000,(-),Faecal fraction Dummy Food5 for DEB Mussel
 , ,M_FF06,0.500000,(-),Faecal fraction Dummy Food6 for DEB Mussel
 , ,M_FF07,0.500000,(-),Faecal fraction Dummy Food7 for DEB Mussel
 , ,M_FF08,0.500000,(-),Faecal fraction Dummy Food8 for DEB Mussel
Secchi,Secchi depth for visible-light (370-680nm),ExtVl,Using output from proces [Extinc_VLG          ],(1/m),total extinction coefficient visible light
